Item,Price,Source,Page,Section
"Bridle, w/o Bit",1.3,Auroras,139,Wilderness Gear
Bridle w/Bit,1.5,Auroras,139,Wilderness Gear
Bridle w/Bit & Blinder,2,Auroras,139,Wilderness Gear
"Horse Harness, Single",3,Auroras,139,Wilderness Gear
"Horse Harness, Double",5,Auroras,139,Wilderness Gear
"Horse Harness, 4 horse",9,Auroras,139,Wilderness Gear
"Horse Harness, 6 horse",15,Auroras,139,Wilderness Gear
"Horse Harness, 8 horse",22,Auroras,139,Wilderness Gear
Horse Blanket/Hood,3,Auroras,139,Wilderness Gear
Horse Fly Net,2,Auroras,139,Wilderness Gear
"Oars/Paddles, 1 pair",1,Auroras,139,Wilderness Gear
"Sailcloth, per sq. yard",1,Auroras,139,Wilderness Gear
Saddle,10,Auroras,140,Wilderness Gear
Saddle Blanket,0.2,Auroras,140,Wilderness Gear
Saddlebag,2,Auroras,140,Wilderness Gear
"Sleigh, 2 person",200,Auroras,140,Wilderness Gear
"Sleigh, 4 person",300,Auroras,140,Wilderness Gear
"Skates, Strap-On",3,Auroras,140,Wilderness Gear
"Skates, Gnome",7,Auroras,140,Wilderness Gear
"Skates, Halfling",8,Auroras,140,Wilderness Gear
"Skates, Elf",9,Auroras,140,Wilderness Gear
"Skates, Human",10,Auroras,140,Wilderness Gear
Snowskis w/Poles,15,Auroras,141,Wilderness Gear
Cart,30,Auroras,141,Wilderness Gear
Wagon,80,Auroras,141,Wilderness Gear
Horse Whip,,Auroras,141,Wilderness Gear
"Bandages, 1” square, 100",0.2,Auroras,142,Priest in a Poke
"Bandages, 2” strips, 50 yd roll",1,Auroras,142,Priest in a Poke
"Balms, various",varies,Auroras,142,Priest in a Poke
"Crutches, Demihuman",4,Auroras,142,Priest in a Poke
"Crutches, Human",6,Auroras,142,Priest in a Poke
"Crutches, Armpit Rest (all sizes)",1,Auroras,142,Priest in a Poke
Cranial Drills,10,Auroras,143,Priest in a Poke
Herbal Medications,varies,Auroras,143,Priest in a Poke
"Hand Hooks, Demihuman, Steel",0.3,Auroras,143,Priest in a Poke
"Hand Hooks, Demihuman, Brass",0.9,Auroras,143,Priest in a Poke
"Hand Hooks, Demihuman, Silver",9,Auroras,143,Priest in a Poke
"Hand Hooks, Demihuman, Gold",95,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Wood",0.07,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Steel",0.7,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Ivory",2,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Brass",1.8,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Silver",1.8,Auroras,143,Priest in a Poke
"Peg Leg, Demihuman, Gold",170,Auroras,143,Priest in a Poke
"Knife Kit, Surgical",10,Auroras,143,Priest in a Poke
"Leeches, Jar, Approx. 10",10,Auroras,144,Priest in a Poke
Limb Rod,8,Auroras,144,Priest in a Poke
"Saws, Amputation, Finger",3,Auroras,144,Priest in a Poke
"Saws, Amputation, Arms",5,Auroras,144,Priest in a Poke
"Saws, Amputation, Legs",10,Auroras,144,Priest in a Poke
"Saws, Amputation, Trunk",13,Auroras,144,Priest in a Poke
"Saws, Amputation, Joint Cutter",7,Auroras,144,Priest in a Poke
"Saws, Amputation, Snips",5,Auroras,144,Priest in a Poke
Splint Set,4,Auroras,145,Priest in a Poke
Trail Boots,5,Auroras,145,Priest in a Poke
Tooth Wrench,5,Auroras,145,Priest in a Poke
Tourniquets,0.1,Auroras,146,Priest in a Poke
"Theriaca, Antidote, 8 oz flask",5,Auroras,146,Priest in a Poke
Wound Packings,0.1,Auroras,146,Priest in a Poke
Clockpieces,75-230,Auroras,147,DaRoni’s Workshop
Furnace Wagon,150,Auroras,148,DaRoni’s Workshop
"Instruments, Mechanical",40-95,Auroras,149,DaRoni’s Workshop
Telescope,70,Auroras,150,DaRoni’s Workshop
Light Splitter,25,Auroras,150,DaRoni’s Workshop
Air Screw,75,Auroras,151,DaRoni’s Workshop
Doubles Wheel,95,Auroras,152,DaRoni’s Workshop
Heartland Flier,45,Auroras,153,DaRoni’s Workshop
Tentfall,,Auroras,153,DaRoni’s Workshop
"Sketches, Architectural",1,Auroras,154,DaRoni’s Workshop
"Sketches, Biographical",,Auroras,154,DaRoni’s Workshop
"Sketches, Biological",4,Auroras,154,DaRoni’s Workshop
"Crossbow, Great",1250,Auroras,155,DaRoni’s Workshop
"Guard, Casement",300,Auroras,156,DaRoni’s Workshop
"Foil, Ladder",250,Auroras,156,DaRoni’s Workshop
Hurler,15,Auroras,156,DaRoni’s Workshop
Missile Thrower,180,Auroras,156,DaRoni’s Workshop
"Scythe Wagon, Front",75,Auroras,157,DaRoni’s Workshop
"Scythe Wagon, Back",60,Auroras,157,DaRoni’s Workshop
"Wagon, Armored",250,Auroras,158,DaRoni’s Workshop
"Wagon, Flailing",90,Auroras,158,DaRoni’s Workshop
Aquawalker,8,Auroras,159,DaRoni’s Workshop
Diving Hood,25,Auroras,159,DaRoni’s Workshop
Underwater Boat,,Auroras,159,DaRoni’s Workshop
Water Screw,75,Auroras,159,DaRoni’s Workshop
